"","anno","tasso_std","tasso_standard"
"1",2011,0.0130091365154322,1300.91365154322
"2",2012,0.0129495457790439,1294.95457790439
"3",2013,0.0124016447785877,1240.16447785877
"4",2014,0.0120804578758953,1208.04578758953
"5",2015,0.0127325441378536,1273.25441378536
"6",2016,0.0119027432584744,1190.27432584744
"7",2017,0.0122138023028998,1221.38023028998
"8",2018,0.0116590796009625,1165.90796009625
"9",2019,0.0114679411303927,1146.79411303927
"10",2020,0.0130060861069475,1300.60861069475
"11",2021,0.0122655519598783,1226.55519598783
"12",2022,0.012185379046514,1218.5379046514
"13",2023,0.0111808863610326,1118.08863610326
