"","NOME_REGIONE","anno_raggr","tasso_standard"
"1","Abruzzo","2015-19",1169.09386324224
"2","Abruzzo","2020",1259.40827286561
"3","Abruzzo","2021",1300.300075253
"4","Abruzzo","2022",1313.21760257063
"5","Abruzzo","2023",1224.71077542752
"6","Basilicata","2015-19",1146.82051882831
"7","Basilicata","2020",1236.14108528813
"8","Basilicata","2021",1285.56491112212
"9","Basilicata","2022",1315.48798155102
"10","Basilicata","2023",1223.45264027293
"11","Calabria","2015-19",1061.30937124025
"12","Calabria","2020",1126.1753541241
"13","Calabria","2021",1242.12552825673
"14","Calabria","2022",1234.30707524951
"15","Calabria","2023",1165.64948743915
"16","Campania","2015-19",961.323567316503
"17","Campania","2020",1040.32759684063
"18","Campania","2021",1097.8866553111
"19","Campania","2022",1089.60568378606
"20","Campania","2023",1023.00796358201
"21","Emilia-Romagna","2015-19",1146.44009169441
"22","Emilia-Romagna","2020",1337.39714375894
"23","Emilia-Romagna","2021",1253.72358292087
"24","Emilia-Romagna","2022",1241.95377286308
"25","Emilia-Romagna","2023",1147.51785771428
"26","Friuli-Venezia Giulia","2015-19",1216.48649707197
"27","Friuli-Venezia Giulia","2020",1377.61395968881
"28","Friuli-Venezia Giulia","2021",1409.06026583216
"29","Friuli-Venezia Giulia","2022",1328.84442015089
"30","Friuli-Venezia Giulia","2023",1216.16280705515
"31","Lazio","2015-19",1022.05400808358
"32","Lazio","2020",1079.99027051445
"33","Lazio","2021",1112.99405154859
"34","Lazio","2022",1113.63629205292
"35","Lazio","2023",1060.47754965619
"36","Liguria","2015-19",1425.76398366574
"37","Liguria","2020",1693.76702653286
"38","Liguria","2021",1494.83534684013
"39","Liguria","2022",1583.06205759637
"40","Liguria","2023",1418.57848976809
"41","Lombardia","2015-19",999.848124292788
"42","Lombardia","2020",1358.73960693693
"43","Lombardia","2021",1086.37392534269
"44","Lombardia","2022",1125.71613166403
"45","Lombardia","2023",1033.91877860282
"46","Marche","2015-19",1163.31278933628
"47","Marche","2020",1327.78289014406
"48","Marche","2021",1326.0260733289
"49","Marche","2022",1319.30202064351
"50","Marche","2023",1186.62155443179
"51","Molise","2015-19",1264.86811538709
"52","Molise","2020",1373.30458278428
"53","Molise","2021",1517.1902927005
"54","Molise","2022",1465.34314564436
"55","Molise","2023",1335.34730728471
"56","Piemonte","2015-19",1230.74490458227
"57","Piemonte","2020",1532.1427801013
"58","Piemonte","2021",1325.93518747025
"59","Piemonte","2022",1381.86474326594
"60","Piemonte","2023",1257.10627045379
"61","Puglia","2015-19",990.618070793945
"62","Puglia","2020",1129.43473878185
"63","Puglia","2021",1199.6104507195
"64","Puglia","2022",1137.08057296809
"65","Puglia","2023",1097.530173251
"66","Sardegna","2015-19",1029.02118025238
"67","Sardegna","2020",1178.56493555247
"68","Sardegna","2021",1181.41384766711
"69","Sardegna","2022",1292.92124985747
"70","Sardegna","2023",1175.11307572303
"71","Sicilia","2015-19",1078.85105056449
"72","Sicilia","2020",1164.09485384459
"73","Sicilia","2021",1251.8968368984
"74","Sicilia","2022",1224.08385607518
"75","Sicilia","2023",1144.71991783991
"76","Toscana","2015-19",1191.12255993384
"77","Toscana","2020",1303.56893803884
"78","Toscana","2021",1293.14231633163
"79","Toscana","2022",1333.67329194683
"80","Toscana","2023",1199.26892029205
"81","Trentino-Alto Adige/Südtirol","2015-19",896.896319214517
"82","Trentino-Alto Adige/Südtirol","2020",1120.8930040656
"83","Trentino-Alto Adige/Südtirol","2021",979.966167724157
"84","Trentino-Alto Adige/Südtirol","2022",993.317647409494
"85","Trentino-Alto Adige/Südtirol","2023",900.251869993121
"86","Umbria","2015-19",1197.22551876781
"87","Umbria","2020",1279.18268374389
"88","Umbria","2021",1338.1446920222
"89","Umbria","2022",1351.4017037489
"90","Umbria","2023",1252.44188802754
"91","Valle d'Aosta/Vallée d'Aoste","2015-19",1168.86930312966
"92","Valle d'Aosta/Vallée d'Aoste","2020",1478.79776700737
"93","Valle d'Aosta/Vallée d'Aoste","2021",1235.40362159418
"94","Valle d'Aosta/Vallée d'Aoste","2022",1241.08300907912
"95","Valle d'Aosta/Vallée d'Aoste","2023",1111.83302200926
"96","Veneto","2015-19",1014.08524429427
"97","Veneto","2020",1185.37453272948
"98","Veneto","2021",1110.67532131512
"99","Veneto","2022",1144.20209808891
"100","Veneto","2023",1046.13765433639
